merge_column,Sample,kefir type,Stage,data_source
TG_ID054_ML_T5_S10_host_removed_R1.fastq.gz,ID054,ML,T5,This study
TG_ID088_WL_T4_S48_host_removed_R2.fastq.gz,ID088,WL,T4,This study
TG_ID087_WG_T5_S18_host_removed_R1.fastq.gz,ID087,WG,T5,This study
TG_ID084_WL_T1_S329_host_removed_R1.fastq.gz,ID084,WL,T1,This study
TG_ID103_WL_T4_S158_host_removed_R1.fastq.gz,ID103,WL,T4,This study
TG_ID037_ML_T4_S30_host_removed_R1.fastq.gz,ID037,ML,T4,This study
TG_LO_T1_ML_0AE_S1_host_removed_R1.fastq.gz,LO,ML,T0,This study
TG_ID042_MG_T5_S165_host_removed_R1.fastq.gz,ID042,MG,T5,This study
TG_ID010_MG_T5_S176_host_removed_R2.fastq.gz,ID010,MG,T5,This study
TG_ID020_MG_T4_S75_host_removed_R1.fastq.gz,ID020,MG,T4,This study
TG_ID084_WL_T5_S53_host_removed_R2.fastq.gz,ID084,WL,T5,This study
TG_ID012_MG_T5_S125_host_removed_R1.fastq.gz,ID012,MG,T5,This study
TG_ID012_MG_T3_S189_host_removed_R2.fastq.gz,ID012,MG,T3,This study
TG_ID013_ML_T1_S150_host_removed_R1.fastq.gz,ID013,ML,T1,This study
TG_ID084_WG_T4_S132_host_removed_R2.fastq.gz,ID084,WG,T4,This study
TG_ID054_ML_T6_S34_host_removed_R2.fastq.gz,ID054,ML,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID092_WL_T5_S94_host_removed_R2.fastq.gz,ID092,WL,T5,This study
TG_ID048_ML_T4_S14_host_removed_R2.fastq.gz,ID048,ML,T4,This study
TG_LO_T1_ML_0AE_S1_host_removed_R2.fastq.gz,LO,ML,T0,This study
TG_ID097_WL_T1_S141_host_removed_R1.fastq.gz,ID097,WL,T1,This study
TG_ID085_WL_T5_S77_host_removed_R1.fastq.gz,ID085,WL,T5,This study
TG_ID042_MG_T2_S126_host_removed_R1.fastq.gz,ID042,MG,T2,This study
TG_ID058_WG_T3_S36_host_removed_R2.fastq.gz,ID058,WG,T3,This study
TG_ID070_WG_T1_S188_host_removed_R2.fastq.gz,ID070,WG,T1,This study
TG_ID011_MG_T5_S110_host_removed_R1.fastq.gz,ID011,MG,T5,This study
TG_ID048_MG_T3_S88_host_removed_R1.fastq.gz,ID048,MG,T3,This study
TG_ID060_WG_T2_S175_host_removed_R2.fastq.gz,ID060,WG,T2,This study
TG_ID050_ML_T1_S132_host_removed_R1.fastq.gz,ID050,ML,T1,This study
TG_ID087_WG_T3_S159_host_removed_R1.fastq.gz,ID087,WG,T3,This study
TG_ID107_WL_T6_S112_host_removed_R2.fastq.gz,ID107,WL,T6,This study
TG_ID113_WG_T4_S99_host_removed_R1.fastq.gz,ID113,WG,T4,This study
TG_ID093_WG_T3_S65_host_removed_R1.fastq.gz,ID093,WG,T3,This study
TG_FU_MLC_S107_host_removed_R1.fastq.gz,FU,Medium control,T0,This study
TG_ID125_MG_T6_S103_host_removed_R1.fastq.gz,ID125,MG,T6,This study
TG_ID089_WL_T5_S78_host_removed_R1.fastq.gz,ID089,WL,T5,This study
TG_ID020_MG_T1_S106_host_removed_R2.fastq.gz,ID020,MG,T1,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID096_WL_T1_S117_host_removed_R2.fastq.gz,ID096,WL,T1,This study
TG_ID084_WG_T5_S41_host_removed_R2.fastq.gz,ID084,WG,T5,This study
TG_ID124_ML_T5_S161_host_removed_R1.fastq.gz,ID124,ML,T5,This study
TG_ID011_ML_T3_S113_host_removed_R1.fastq.gz,ID011,ML,T3,This study
TG_ID061_WL_T2_S309_host_removed_R2.fastq.gz,ID061,WL,T2,This study
